scan_id,region,gics_sector,signal_name,raw_value,z_value
111,EU,Real Estate,ma50_slope,-0.000606419,-0.867851
111,EU,Real Estate,obv_slope,-0.009203,-0.602411
111,EU,Real Estate,return_1m,-0.0340484,-0.569033
111,EU,Real Estate,return_3m,0.0193953,-0.584181
111,EU,Real Estate,return_6m,-0.00776153,-1.08056
111,EU,Real Estate,rs_momentum,99.8577,-0.251397
111,EU,Real Estate,rs_ratio,96.9653,-0.769433
111,EU,Technology,above_200dma,0.163677,1.45637
111,EU,Technology,above_50dma,0.0521376,0.98168
111,EU,Technology,acceleration,-0.236844,-1.87965
111,EU,Technology,breadth_above_50dma,,-0.881123
111,EU,Technology,ma50_slope,0.00462727,2.18201
111,EU,Technology,obv_slope,0.00593183,0.419773
111,EU,Technology,return_1m,0.0222198,0.542465
111,EU,Technology,return_3m,0.259063,1.74196
111,EU,Technology,return_6m,0.235688,1.15193
111,EU,Technology,rs_momentum,99.4313,-1.67648
111,EU,Technology,rs_ratio,99.6853,0.235795
111,EU,Utilities,above_200dma,0.084848,0.279952
111,EU,Utilities,above_50dma,0.00114598,-0.149156
111,EU,Utilities,acceleration,-0.0521417,0.404142
111,EU,Utilities,breadth_above_50dma,,-0.881123
111,EU,Utilities,ma50_slope,-0.000495177,-0.803026
111,EU,Utilities,obv_slope,0.00920614,0.640916
111,EU,Utilities,return_1m,-0.011044,-0.114615
111,EU,Utilities,return_3m,0.0410977,-0.373544
111,EU,Utilities,return_6m,0.163162,0.486841
111,EU,Utilities,rs_momentum,99.8123,-0.403037
111,EU,Utilities,rs_ratio,99.1496,0.0378417
111,US,Communication Services,above_200dma,-0.0705756,-2.03954
111,US,Communication Services,above_50dma,-0.0689131,-1.70285
111,US,Communication Services,acceleration,-0.0360467,0.603152
111,US,Communication Services,breadth_above_50dma,0.227273,-0.21809
111,US,Communication Services,ma50_slope,-0.000478329,-0.793209
111,US,Communication Services,obv_slope,-0.0340473,-2.28036
111,US,Communication Services,return_1m,-0.0748556,-1.37512
111,US,Communication Services,return_3m,-0.0388089,-1.14909
111,US,Communication Services,return_6m,-0.0773691,-1.71888
111,US,Communication Services,rs_momentum,99.7828,-0.501678
111,US,Communication Services,rs_ratio,95.8695,-1.17441
111,US,Consumer Discretionary,above_200dma,-0.0175605,-1.24836
111,US,Consumer Discretionary,above_50dma,-0.021289,-0.646696
111,US,Consumer Discretionary,acceleration,-0.0837953,0.0127524
111,US,Consumer Discretionary,breadth_above_50dma,0.574468,0.794798
111,US,Consumer Discretionary,ma50_slope,0.00107593,0.112517
111,US,Consumer Discretionary,obv_slope,-0.0033666,-0.208229
111,US,Consumer Discretionary,return_1m,-0.0325617,-0.539666
111,US,Consumer Discretionary,return_3m,0.0512336,-0.275169
